repetition,num_adv_hsdirs,hsdir_matches_at_least,pubkeys_list_size,time
8,10,2,720,1430.3313139340607
8,10,2,900,1862.0509782270528
8,15,1,180,2.4118013959378004
8,15,1,360,4.456344841979444
8,15,1,540,6.473218580940738
8,15,1,720,8.464735521003604
8,15,1,900,10.427566547994502
8,15,2,180,642.1397200180218
8,15,2,360,1318.98998898
8,15,2,540,1929.3069828569423
8,15,2,720,2589.5165119690355
8,15,2,900,3349.136559317936
8,20,1,180,1.1251662760041654
8,20,1,360,2.112484482000582
8,20,1,540,3.1673215699847788
8,20,1,720,4.381272778962739
8,20,1,900,5.512431332957931
8,20,2,180,132.11369335395284
8,20,2,360,282.4895850409521
8,20,2,540,456.6677880929783
8,20,2,720,624.8035919410177
8,20,2,900,797.2165974070085
8,25,1,180,0.9147252850234509
8,25,1,360,1.7961897479835898
8,25,1,540,3.0163241560803726
8,25,1,720,4.191151841077954
8,25,1,900,5.188670241041109
8,25,2,180,159.41971776704304
8,25,2,360,290.1964590069838
8,25,2,540,419.46838184504304
8,25,2,720,550.476913505001
8,25,2,900,692.5815988819813
9,10,1,180,1.8266032240353525
9,10,1,360,3.800447227084078
9,10,1,540,5.374516159994528
9,10,1,720,6.799920401070267
9,10,1,900,8.330149934976362
9,10,2,180,505.58548419107683
9,10,2,360,972.5682371769799
9,10,2,540,1388.1661303240107
9,10,2,720,1869.529148348025
9,10,2,900,2292.8234890319873
9,15,1,180,1.3707044600741938
9,15,1,360,2.4269975430797786
9,15,1,540,3.708482074085623
9,15,1,720,4.803508315002546
9,15,1,900,5.873246415052563
9,15,2,180,236.51540809799917
9,15,2,360,442.64594535308424
9,15,2,540,641.1753735500388
9,15,2,720,845.4814345199848
9,15,2,900,1071.4755993500585
9,20,1,180,1.1429937910288572
9,20,1,360,2.3822834730381146
9,20,1,540,3.518005089019425
9,20,1,720,4.587257991079241
9,20,1,900,5.775806479039602
9,20,2,180,184.3184078100603
9,20,2,360,370.98021862399764
9,20,2,540,551.5546418300364
9,20,2,720,736.784461215022
9,20,2,900,901.6199405500665
9,25,1,180,1.0703881720546633
9,25,1,360,2.01211502100341
9,25,1,540,2.948435647995211
9,25,1,720,4.021078885998577
9,25,1,900,5.159287297981791
9,25,2,180,144.44031339907087
9,25,2,360,286.90062897698954
9,25,2,540,444.54037060705014
9,25,2,720,597.0739368810318
9,25,2,900,753.6949834170518
10,10,1,180,2.40740648296196
10,10,1,360,4.606951725902036
10,10,1,540,6.315614986000583
10,10,1,720,8.332059076987207
10,10,1,900,10.325008669984527
10,10,2,180,649.0289281579899
10,10,2,360,1315.3663030739408
10,10,2,540,1924.9433135739528
10,10,2,720,2565.174083125894
10,10,2,900,3249.444488159963
